序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
89,地区级,2020/2/9,2020/2/10,中国,河南省,焦作市,沁阳市,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
90,地区级,2020/2/9,2020/2/10,中国,河南省,焦作市,孟州市,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
91,城市级,2020/2/9,2020/2/10,中国,河南省,焦作市,,1,,,,25,,,,,,河南卫健委,2020/2/10 9:00,"020年2月9日0-24时，河南省新增新型冠状病毒肺炎确诊病例40例,新增出院病例38例。新增确诊病例中，信阳市15例（含固始县5例）、驻马店市7例、郑州市4例、周口市3例、平顶山市2例、洛阳市2例、新乡市2例（含长垣市1例）、濮阳市1例、安阳市1例、商丘市1例、南阳市1例、焦作市1例。

截至2月9日24时，全省累计报告新型冠状病毒肺炎确诊病例1073例，现有重症病例63例，现有危重病例31例，累计死亡病例6例，累计治愈病例169例。其中：确诊病例中，信阳市220例（含固始县23例）、南阳市134例（含邓州市17例）、郑州市130例（含巩义市8例）、驻马店市123例（含新蔡县10例）、商丘市83例（含永城市14例）、周口市65例（含鹿邑县6例）、平顶山市52例（含汝州市1例）、新乡市46例（含长垣市6例）、安阳市45例（含滑县2例）、许昌市31例、漯河市30例、洛阳市27例、焦作市25例、开封市24例（含兰考县5例）、鹤壁市17例、濮阳市10例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者24627人，2月9日已解除观察3890人，诊断为疑似56人，共有10199人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48218.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
92,地区级,2020/2/9,2020/2/10,中国,河南省,濮阳市,华龙区,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
93,地区级,2020/2/9,2020/2/10,中国,河南省,濮阳市,清丰县,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
94,地区级,2020/2/9,2020/2/10,中国,河南省,濮阳市,南乐县,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
95,地区级,2020/2/9,2020/2/10,中国,河南省,濮阳市,范县,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
96,地区级,2020/2/9,2020/2/10,中国,河南省,濮阳市,台前县,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
97,地区级,2020/2/9,2020/2/10,中国,河南省,濮阳市,濮阳县,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
98,城市级,2020/2/9,2020/2/10,中国,河南省,濮阳市,,1,,,,10,,,,,,河南卫健委,2020/2/10 9:00,"020年2月9日0-24时，河南省新增新型冠状病毒肺炎确诊病例40例,新增出院病例38例。新增确诊病例中，信阳市15例（含固始县5例）、驻马店市7例、郑州市4例、周口市3例、平顶山市2例、洛阳市2例、新乡市2例（含长垣市1例）、濮阳市1例、安阳市1例、商丘市1例、南阳市1例、焦作市1例。

截至2月9日24时，全省累计报告新型冠状病毒肺炎确诊病例1073例，现有重症病例63例，现有危重病例31例，累计死亡病例6例，累计治愈病例169例。其中：确诊病例中，信阳市220例（含固始县23例）、南阳市134例（含邓州市17例）、郑州市130例（含巩义市8例）、驻马店市123例（含新蔡县10例）、商丘市83例（含永城市14例）、周口市65例（含鹿邑县6例）、平顶山市52例（含汝州市1例）、新乡市46例（含长垣市6例）、安阳市45例（含滑县2例）、许昌市31例、漯河市30例、洛阳市27例、焦作市25例、开封市24例（含兰考县5例）、鹤壁市17例、濮阳市10例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者24627人，2月9日已解除观察3890人，诊断为疑似56人，共有10199人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48218.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
99,地区级,2020/2/9,2020/2/10,中国,河南省,许昌市,魏都区,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
100,地区级,2020/2/9,2020/2/10,中国,河南省,许昌市,建安区,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
101,地区级,2020/2/9,2020/2/10,中国,河南省,许昌市,鄢陵县,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
102,地区级,2020/2/9,2020/2/10,中国,河南省,许昌市,襄城县,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
103,地区级,2020/2/9,2020/2/10,中国,河南省,许昌市,禹州市,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
104,地区级,2020/2/9,2020/2/10,中国,河南省,许昌市,长葛市,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
105,城市级,2020/2/9,2020/2/10,中国,河南省,许昌市,,,,,,31,,,,,,河南卫健委,2020/2/10 9:00,"020年2月9日0-24时，河南省新增新型冠状病毒肺炎确诊病例40例,新增出院病例38例。新增确诊病例中，信阳市15例（含固始县5例）、驻马店市7例、郑州市4例、周口市3例、平顶山市2例、洛阳市2例、新乡市2例（含长垣市1例）、濮阳市1例、安阳市1例、商丘市1例、南阳市1例、焦作市1例。

截至2月9日24时，全省累计报告新型冠状病毒肺炎确诊病例1073例，现有重症病例63例，现有危重病例31例，累计死亡病例6例，累计治愈病例169例。其中：确诊病例中，信阳市220例（含固始县23例）、南阳市134例（含邓州市17例）、郑州市130例（含巩义市8例）、驻马店市123例（含新蔡县10例）、商丘市83例（含永城市14例）、周口市65例（含鹿邑县6例）、平顶山市52例（含汝州市1例）、新乡市46例（含长垣市6例）、安阳市45例（含滑县2例）、许昌市31例、漯河市30例、洛阳市27例、焦作市25例、开封市24例（含兰考县5例）、鹤壁市17例、濮阳市10例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者24627人，2月9日已解除观察3890人，诊断为疑似56人，共有10199人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48218.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
106,地区级,2020/2/9,2020/2/10,中国,河南省,漯河市,源汇区,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
107,地区级,2020/2/9,2020/2/10,中国,河南省,漯河市,郾城区,,,,,,,,,,,河南卫健委,2020/2/9 11:00,"2020年2月8日0-24时，河南省新增新型冠状病毒肺炎确诊病例53例,新增出院病例34例，新增死亡病例2例。新增确诊病例中，信阳市13例、商丘市7例（含永城市2例）、郑州市6例、南阳市5例、鹤壁市4例、焦作市4例、开封市3例、驻马店市3例、平顶山市2例、濮阳市2例、安阳市1例、许昌市1例、漯河市1例、新乡市1例（含长垣市1例）。

截至2月8日24时，全省累计报告新型冠状病毒肺炎确诊病例1033例（永城市7日病例核减1例），现有重症病例64例，现有危重病例26例，累计死亡病例6例，累计治愈病例131例。其中：确诊病例中，信阳市205例（含固始县18例）、南阳市133例（含邓州市17例）、郑州市126例（含巩义市8例）、驻马店市116例（含新蔡县10例）、商丘市82例（含永城市14例）、周口市62例（含鹿邑县6例）、平顶山市50例（含汝州市1例）、安阳市44例（含滑县2例）、新乡市44例（含长垣市5例）、许昌市31例、漯河市30例、洛阳市25例、开封市24例（含兰考县5例）、焦作市24例、鹤壁市17例、濮阳市9例、三门峡市7例、济源示范区4例。

目前累计追踪到密切接触者21308人，2月8日已解除观察3618人，诊断为疑似52人，共有10178人正在接受医学观察。",http://wsjkw.henan.gov.cn/contents/854/48204.shtml,,,,2020/2/10 9:20,手动,莫纯谊,是,2020/2/10 9:49,手动,莫纯谊,核查通过,,,,,,,
